#client-send-timestamp,server-timestamp,e2e-rtt
1611336441708429104,1611336441732325106,43.745733
1611336441958579188,1611336441982435400,41.819516
1611336442208693801,1611336442234417528,44.20757
1611336442459715445,1611336442483520866,41.904871
1611336442709978344,1611336442733883971,40.867048
1611336442960257494,1611336442985399105,42.434059
1611336443210478540,1611336443234441398,40.938615
1611336443460588341,1611336443486813856,43.847771
1611336443710622484,1611336443733999502,41.526873
1611336443960876850,1611336443984355837,41.339677
1611336444211227237,1611336444235177342,40.941914
1611336444461715812,1611336444485446741,41.806643
1611336444711902508,1611336444736267516,41.517111
1611336444962202825,1611336444985973863,42.590499
1611336445212494998,1611336445236393541,41.225587
1611336445462805787,1611336445486112265,39.843091
1611336445712971447,1611336445736098318,40.301090
1611336445963478638,1611336445987367766,40.778546
1611336446213876119,1611336446238895253,42.978065
1611336446464201643,1611336446487968616,44.562761
